ID,Time,Date,Altitude,Speed,Heading,Lat,Lon,Age,Range,Bearing,Tail,Metar
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,2.380714,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,3.381135,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,4.383479,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,6.383668,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,8.383014,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,10.381569,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,11.382245,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,13.382351,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,15.382233,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,17.382601,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,19.382536,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,21.382795,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,22.383896,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
10963945,18:41:27.374,11/13/2020,3300,120,74,40.778225,-80.27869,24.384407,27.7584397158467,-89.81537115319252,N56987,KBTP 131840Z AUTO 25009KT 10SM CLR 11/01 A3001 RMK T01100010 MADISHF
